model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
 X3,2019.0,Semi-Auto,7721.0,Diesel,145.0,54.3,2.0,31950
 1 Series,2013.0,Manual,59995.0,Diesel,30.0,,2.0,9995
 X1,2016.0,Manual,25000.0,Diesel,125.0,58.9,2.0,17495
 X5,2019.0,Semi-Auto,5345.0,Diesel,145.0,37.7,3.0,45463
 2 Series,2016.0,Automatic,,Petrol,,39.8,3.0,21499
 5 Series,2013.0,Semi-Auto,60611.0,Diesel,125.0,60.1,2.0,10750
 1 Series,2015.0,Automatic,75124.0,Diesel,20.0,70.6,2.0,9700
 4 Series,2017.0,Semi-Auto,19025.0,Diesel,125.0,60.1,2.0,19440
 3 Series,2019.0,Semi-Auto,22095.0,Diesel,145.0,52.3,2.0,25350
 1 Series,2017.0,Manual,48781.0,Diesel,145.0,68.9,2.0,10500
 3 Series,2007.0,Automatic,124200.0,Diesel,260.0,40.9,2.0,2995
 2 Series,2016.0,Semi-Auto,21924.0,Petrol,260.0,37.2,3.0,20990
 5 Series,2017.0,Automatic,28935.0,Diesel,150.0,,2.0,21300
 2 Series,2020.0,Automatic,1968.0,Petrol,145.0,50.4,2.0,23985
 X1,2017.0,Manual,23692.0,Diesel,125.0,58.9,,17995
 X3,2019.0,Semi-Auto,35.0,Diesel,145.0,54.3,2.0,34750
 3 Series,2013.0,Manual,48681.0,Petrol,150.0,47.9,1.6,8480
 X1,2015.0,Semi-Auto,46216.0,Diesel,125.0,,2.0,16250
 X4,2020.0,Semi-Auto,1608.0,Petrol,145.0,26.9,3.0,45500
 X1,2016.0,Semi-Auto,47027.0,Diesel,145.0,55.4,2.0,17750
 5 Series,2014.0,Automatic,126100.0,,30.0,,2.0,7995
 2 Series,2020.0,Semi-Auto,,Petrol,145.0,50.4,1.5,20980
 3 Series,2019.0,Semi-Auto,1425.0,Petrol,145.0,,2.0,29995
 4 Series,2017.0,Automatic,16876.0,Diesel,125.0,,2.0,20320
 3 Series,2016.0,Semi-Auto,16923.0,Diesel,,60.1,2.0,17110
 X5,2011.0,Automatic,90734.0,,305.0,,3.0,11450
 X1,2018.0,Manual,16066.0,Petrol,150.0,51.4,1.5,18000
 X5,2008.0,Automatic,86800.0,,325.0,34.9,3.0,7998
